iter	RMSE
764	1496368.233
765	1496348.105
766	1495368.133
767	1495350.356
768	1495258.299
769	1494066.675
770	1493227.382
771	1492155.452
772	1490842.78
773	1488643.094
774	1486569.672
775	1485555.856
776	1482347.832
777	1480194.276
778	1478081.25
779	1476060.08
780	1475360.83
781	1474824.832
782	1473628.302
783	1472226.324
784	1471283.547
785	1470091.079
786	1467997.591
787	1465331.884
788	1464194.811
789	1464091.639
790	1462702.616
791	1461991.388
792	1461968.393
793	1460131.974
794	1458745.938
795	1458723.982
796	1457758.517
797	1456371.992
798	1456348.115
799	1454784.582
800	1453825.895
801	1452363.698
802	1450320.966
803	1448357.339
804	1446751.088
805	1445072.686
806	1444443.195
807	1443733.293
808	1442156.806
809	1440578.924
810	1439772.967
811	1438535.663
812	1435869.083
813	1434131.484
814	1433498.062
815	1432121.308
816	1430652.94
817	1429798.203
818	1428331.355
819	1427987.823
820	1426351.646
821	1424077.038
822	1422881.256
823	1421300.948
824	1420539.881
825	1420520.249
826	1419574.336
827	1418527.138
828	1416563.407
829	1415546.319
830	1414391.421
831	1414369.701
832	1414321.85
833	1413046.735
834	1412764.131
835	1411276.009
836	1410644.58
837	1409742.326
838	1407081.439
839	1405644.328
840	1404374.551
841	1402343.511
842	1402179.777
843	1400632.726
844	1399230.143
845	1398007.896
846	1396213.968
847	1395497.288
848	1394343.805
849	1393610.191
850	1392131.944
851	1391075.28
852	1390296.614
853	1389530.321
854	1388141.46
855	1387714.497
856	1386286.011
857	1384342.331
858	1382899.131
859	1382161.467
860	1380138.456
861	1378948.426
862	1378284.694
863	1376955.122
864	1375839.522
865	1374971.71
866	1374087.889
867	1373449.394
868	1372688.203
869	1370421.397
870	1368833.199
871	1368404.659
872	1367885.249
873	1367260.882
874	1365963.137
875	1364278.467
876	1363870.992
877	1363329.852
878	1362354.581
879	1360572.546
880	1359401.533
881	1356965.353
882	1355474.522
883	1354749.376
884	1353349.622
885	1352002.936
886	1351120.347
887	1351050.256
888	1349268.039
889	1346788.798
890	1345439.642
891	1344442.235
892	1343946.268
893	1343171.267
894	1342743.484
895	1341143.592
896	1340074.409
897	1338494.762
898	1337016.068
899	1335591.01
900	1333680.049
901	1332918.527
902	1332400.962
903	1331539.913
904	1330152.221
905	1328513.121
906	1326928.532
907	1325958.931
908	1325324.619
909	1324193.105
910	1323820.492
911	1322466.958
912	1321321.442
913	1320519.401
914	1319320.716
915	1319029.741
916	1318624.869
917	1317242.883
918	1315333.907
919	1313358.785
920	1312985.55
921	1311787.235
922	1310174.637
923	1309184.293
924	1308673.052
925	1307805.804
926	1306969.814
927	1305303.704
928	1304963.823
929	1302996.549
930	1300795.969
931	1298855.323
932	1297685.508
933	1296562.009
934	1294593.996
935	1294163.911
936	1292516.171
937	1290708.895
938	1289864.611
939	1288249.185
940	1287321.11
941	1286071.703
942	1285635.329
943	1283957.844
944	1283581.02
945	1282327.783
946	1281455.29
947	1280941.009
948	1279857.835
949	1278512.223
950	1277800.963
951	1276883.016
952	1275786.679
953	1275046.769
954	1273255.477
955	1272118.954
956	1271142.589
957	1269793.432
958	1268776.099
959	1267340.206
960	1266154.199
961	1265066.093
962	1264254.562
963	1262740.378
964	1261325.791
965	1259848.789
966	1258370.296
967	1257353.498
968	1255939.374
969	1255168.656
970	1254145.598
971	1253496.093
972	1251655.137
973	1250453.175
974	1249265.283
975	1248877.386
976	1247182.08
977	1246243.769
978	1245560.233
979	1244224.277
980	1243115.897
981	1242042.866
982	1241423.377
983	1240303.863
984	1239244.1
985	1238543.81
986	1237941.559
987	1237093.05
988	1236175.446
989	1234659.571
990	1234211.228
991	1233242.614
992	1232467.237
993	1231603.373
994	1230305.384
995	1229005.906
996	1227848.667
997	1226856.933
998	1226473.973
999	1224921.171
1000	1224012.349
1001	1221963.6
1002	1220832.782
1003	1220517.814
1004	1219144.538
1005	1218235.961
1006	1216882.364
1007	1216111.908
1008	1215454.764
1009	1214519.963
1010	1213293.85
1011	1212145.716
1012	1210635.495
1013	1210032.495
1014	1209059.828
1015	1208223.051
1016	1206843.361
1017	1205757.66
1018	1204835.548
1019	1204210.103
1020	1202157.493
1021	1200749.969
1022	1199511.159
1023	1199115.856
1024	1198016.522
1025	1197459.682
1026	1196685.678
1027	1195842.91
1028	1194397.983
1029	1193581.53
1030	1191932.421
1031	1191558.88
1032	1190426.605
1033	1188096.512
1034	1187097.098
1035	1186272.123
1036	1184804.126
1037	1183941.92
1038	1182808.796
1039	1182602.884
1040	1181396.275
1041	1180182.463
1042	1179765.63
1043	1179205.877
1044	1177908.729
1045	1176601.723
1046	1174639.863
1047	1173417.153
1048	1172583.788
1049	1171277.8
1050	1169756.083
1051	1168988.438
1052	1168453.736
1053	1168101.462
1054	1166675.528
1055	1165537.93
1056	1164775.224
1057	1163088.612
1058	1162431.064
1059	1161770.125
1060	1161306.25
1061	1160861.875
1062	1159889.974
1063	1159032.61
1064	1158351.497
1065	1157229.267
1066	1156748.718
1067	1155966.343
1068	1155235.824
1069	1153945.354
1070	1152560.224
1071	1152244.06
1072	1151501.454
1073	1150518.65
1074	1150005.106
1075	1149167.201
1076	1148037.527
1077	1147106.773
1078	1146889.811
1079	1145224.124
1080	1144635.409
1081	1143204.438
1082	1141379.903
1083	1139218.298
1084	1138224.116
1085	1137805.72
1086	1136269.814
1087	1135575.373
1088	1135271.966
1089	1133756.874
1090	1132736.535
1091	1131566.342
1092	1130006.272
1093	1128996.526
1094	1127698.231
1095	1125632.555
1096	1124762.167
1097	1123584.581
1098	1123042.128
1099	1121798.082
1100	1120779.304
1101	1119631.252
1102	1118777.704
1103	1117615.499
1104	1116859.587
1105	1115613.599
1106	1114899.334
1107	1114066.07
1108	1112266.321
1109	1111088.684
1110	1110181.262
1111	1109482.797
1112	1108740.944
1113	1107463.558
1114	1106938.778
1115	1105946.945
1116	1104463.597
1117	1103206.443
1118	1102438.052
1119	1102036.237
1120	1101072.289
1121	1100503.643
1122	1099402.892
1123	1098821.747
1124	1097015.859
1125	1096002.006
1126	1095293.097
1127	1094292.015
1128	1093918.445
1129	1092884.756
1130	1091932.788
1131	1090292.424
1132	1088854.667
1133	1088112.317
1134	1087455.907
1135	1086903.457
1136	1086507.499
1137	1085802.731
1138	1084445.593
1139	1083756.14
1140	1082764.882
1141	1082059.191
1142	1080866.693
1143	1080324.717
1144	1079304.739
1145	1078311.006
1146	1077646.7
1147	1077240.813
1148	1075758.926
1149	1075105.102
1150	1074475.46
1151	1073382.809
1152	1072338.868
1153	1071864.069
1154	1071313.386
1155	1070508.652
1156	1069379.776
1157	1068627.804
1158	1067636.391
1159	1066678.531
1160	1065986.299
1161	1064511.686
1162	1064052.087
1163	1063329.654
1164	1062665.213
1165	1062135.662
1166	1061541.885
1167	1060329.18
1168	1059415.088
1169	1058659.256
1170	1058110.343
1171	1057569.303
1172	1057123.58
1173	1056656.019
1174	1056120.218
1175	1055869.792
1176	1055451.382
1177	1054728.787
1178	1053723.185
1179	1052154.136
1180	1051319.329
1181	1050072.415
1182	1048824.774
1183	1047933.244
1184	1047213.292
1185	1046884.648
1186	1045954.053
1187	1045311.016
1188	1044718.091
1189	1044520.488
1190	1043624.694
1191	1042887.542
1192	1042599.153
1193	1041617.039
1194	1040995.159
1195	1039887.794
1196	1039145.2
1197	1038701.473
1198	1037935.217
1199	1036303.571
1200	1035962.472
1201	1035367.969
1202	1034472.452
1203	1033627.976
1204	1032887.099
1205	1031984.815
1206	1031323.314
1207	1031076.481
1208	1030404.278
1209	1029403.474
1210	1028417.128
1211	1028064.221
1212	1027097.078
1213	1026770.463
1214	1025678.31
1215	1024637.376
1216	1024181.416
1217	1023358.284
1218	1022303.778
1219	1021620.877
1220	1021059.902
1221	1020316.608
1222	1019468.455
1223	1018636.623
1224	1017302.305
1225	1016354.144
1226	1016340.263
1227	1015114.179
1228	1015101.082
1229	1014271.433
1230	1013257.64
1231	1012495.58
1232	1012483.087
1233	1011574.497
1234	1011170.678
1235	1011122.169
1236	1010293.439
1237	1009436.168
1238	1008806.109
1239	1008010.228
1240	1007004
1241	1006069.046
1242	1005567.282
1243	1004362.345
1244	1003313.153
1245	1002831.218
1246	1002082.067
1247	1001546.059
1248	1000282.131
1249	999782.4742
1250	998550.5119
1251	997260.195
1252	996341.156
1253	996128.8373
1254	995284.1709
1255	994695.7766
1256	994542.1339
1257	993486.0288
1258	992502.279
1259	991141.2352
1260	990145.5197
1261	989473.9217
1262	988563.0449
1263	987580.8672
1264	987002.3608
1265	986328.924
1266	985759.8928
1267	984884.0125
1268	982595.5053
1269	981768.9657
1270	981483.4738
1271	980658.86
1272	979812.6907
1273	978836.0015
1274	977871.5345
1275	977334.0567
1276	976580.6619
1277	975928.2546
1278	975282.3549
1279	974485.1906
1280	973614.4934
1281	972167.8168
1282	971015.7395
1283	970700.8699
1284	970676.1977
1285	970453.6031
1286	969491.5836
1287	968736.2099
1288	967803.9652
1289	967171.9594
1290	965653.929
1291	965093.0398
1292	964905.8297
1293	963957.1121
1294	963472.0194
1295	962673.8278
1296	961631.5323
1297	960994.9459
1298	959648.1487
1299	958601.3581
1300	958156.5693
1301	957662.5808
1302	957198.8306
1303	956483.7863
1304	955780.0905
1305	954794.9462
1306	953881.3592
1307	952877.6251
1308	952758.1308
1309	952209.8941
1310	951353.0099
1311	950715.5968
1312	950101.3643
1313	949286.9273
1314	948518.0716
1315	948017.163
1316	947108.8292
1317	946059.9521
1318	945762.4577
1319	945146.8042
1320	944244.8351
1321	943432.1292
1322	942506.7315
1323	941896.0328
1324	941354.9018
1325	940540.8325
1326	939745.3027
1327	938842.3486
1328	938000.0685
1329	937309.9564
1330	936415.1165
1331	935774.2795
1332	935140.8757
1333	934643.5858
1334	933769.7025
1335	932944.0294
1336	932367.0006
1337	931253.8175
1338	930166.7313
1339	929321.1458
1340	928409.1832
1341	927036.3651
1342	926639.2249
1343	926523.5765
1344	925984.5613
1345	924800.2139
1346	924340.8303
1347	923855.6196
1348	922918.0457
1349	922643.7524
1350	922094.9006
1351	920975.0812
1352	920352.3307
1353	919943.9254
1354	919738.5636
1355	919183.1302
1356	918352.5636
1357	917128.7821
1358	916025.5679
1359	915257.5197
1360	914740.7256
1361	914715.5439
1362	914602.9768
1363	913698.9468
1364	912978.4738
1365	912231.0785
1366	911826.4827
1367	910862.9534
1368	910282.806
1369	909713.4126
1370	909460.8336
1371	908901.285
1372	907969.3146
1373	907279.8615
1374	906387.5168
1375	905385.699
1376	904839.7052
1377	904361.364
1378	904054.3625
1379	903784.3904
1380	902901.797
1381	902341.7353
1382	901999.1078
1383	901074.576
1384	900835.9768
1385	900122.5768
1386	899257.7738
1387	898771.6197
1388	897990.8328
1389	897290.8134
1390	896387.1864
1391	895982.911
1392	895690.5696
1393	895063.7342
1394	894320.1209
1395	893986.3115
1396	893226.3251
1397	892423.1473
1398	891822.4919
1399	891376.4536
