İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,id,appearances,goalsPrevented,kilometersCovered,numberOfSprints,topSpeed
"Mohamed Ouédraogo","1506773","Bundesliga 25/26","Austrian Bundesliga","SCR Altach","7.0818181818182","155.8","22","4","3","1","0","3.40330931","4","507","274","781","64.916773367478","277","230","115","25","35","54.6875","48","25","5","0","2","33","27.966101694915","18","7","4","104","53.061224489796","70","56","174","54.205607476636","1856","22.222222222222","0","0","0","1","0","0","4","0","13","5","2","2","0","55","40.14598540146","63","0","1","29","553","4","62","21","1651","22","26","0","0","13","6","7","0","0","4","0","0","0","0","22","2","0","0","0","0","0","22","0","0","25","64","118","147","55","0","0","0","137","24","28","58.333333333333","464","2","0","0","355","426","1","1.5139","0","109","2","2092971","22","0","0","0","0"
"Mohamed Ouédraogo","1506773","Bundesliga 24/25","Austrian Bundesliga","SCR Altach","6.75","135","20","0","1","1","0","0","0","345","156","501","68.862275449102","190","166","79","12","25","49.019607843137","26","34","3","0","0","11","16.666666666667","4","2","2","64","47.407407407407","35","57.377049180328","99","50.510204081633","1446","0","0","0","0","0","0","0","0","0","3","1","0","0","0","29","30.208333333333","46","0","0","14","376","3","41","15","1075","13","14","0","0","18","3","0","0","0","3","0","0","0","0","17","4","0","0","0","0","0","16","0","0","12","51","66","97","26","0","0","0","96","21","16","61.538461538462","0","0","0","0","245","322","0","0","0","95","0","1482625","20","0","0","0","0"
"Mohamed Ouédraogo","1506773","Bundesliga 23/24","Austrian Bundesliga","SCR Altach","6.9533333333333","104.3","15","1","1","0","1","0","2","238","119","357","66.666666666667","145","108","48","17","13","50","22","18","2","0","0","15","24.193548387097","8","4","2","52","52","25","54.347826086957","77","52.739726027397","1144","12.5","0","0","0","0","0","0","1","0","4","4","0","1","0","38","40.860215053763","20","0","1","7","289","4","31","12","770","17","21","0","0","7","2","2","0","0","4","0","0","0","0","11","3","0","0","0","0","0","14","0","0","17","26","62","69","21","0","0","0","93","14","15","68.181818181818","1144","0","0","0","177","242","2","0","0","72","0","1297400","15","0","0","0","0"
"Benedikt Zech","66285","Bundesliga 25/26","Austrian Bundesliga","SCR Altach","6.9545454545455","153","22","0","0","0","0","0.34252097","0","1060","189","1249","84.867894315452","713","347","93","3","0","0","30","23","1","0","1","1","20","7","2","3","50","64.935064935065","38","55.882352941176","88","60.689655172414","1967","0","0","0","0","0","0","0","0","0","3","4","0","0","0","94","50.267379679144","109","0","1","1","205","0","86","43","1536","21","16","0","0","11","0","2","0","0","7","0","0","0","0","24","0","0","0","0","0","0","22","0","0","3","0","5","57","30","0","0","0","187","24","21","70","0","1","0","0","802","447","1","0.3886","35","116","17","2092959","22","0","0","0","0"
"Benedikt Zech","66285","Bundesliga 24/25","Austrian Bundesliga","SCR Altach","6.9125","110.6","16","0","0","0","0","0","0","740","128","868","85.253456221198","486","256","71","2","1","100","24","21","1","0","0","2","50","3","1","2","37","69.811320754717","29","47.540983606557","66","57.894736842105","1434","0","0","0","0","0","0","0","0","0","3","0","0","0","0","62","46.268656716418","80","0","0","4","145","0","62","31","1072","13","5","1","0","7","0","0","0","0","4","0","0","0","0","17","5","0","0","0","0","0","16","0","0","2","1","4","48","32","0","0","0","134","22","17","70.833333333333","0","0","0","0","531","341","1","0","10","68","0","1816322","16","0","0","0","0"
"Filip Milojevic","1402975","Bundesliga 25/26","Austrian Bundesliga","SCR Altach","6.8375","109.4","16","1","0","0","0","0.35960501","1","378","113","491","76.985743380855","247","131","46","3","1","33.333333333333","29","15","3","0","0","0","0","3","1","1","50","60.240963855422","37","52.112676056338","87","56.493506493506","1212","33.333333333333","0","0","0","0","0","0","1","0","2","1","1","0","0","34","50.746268656716","55","1","1","4","132","0","49","19","703","20","15","0","0","12","1","1","0","0","3","0","0","0","0","12","2","0","0","0","0","0","14","0","0","3","3","1","67","34","0","0","0","67","14","15","51.724137931034","1212","0","0","0","280","211","2","0.1453","0","39","8","2196977","16","0","0","0","0"
"Filip Milojevic","1402975","Bundesliga 24/25","Austrian Bundesliga","SCR Altach","6.5","26","4","0","0","0","0","0","0","28","13","41","68.292682926829","19","9","8","2","0","0","2","1","1","0","0","0","0","0","0","0","3","37.5","6","66.666666666667","9","52.941176470588","108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","14","0","2","0","57","1","3","0","0","2","1","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","2","0","0","8","3","0","0","0","4","4","2","100","0","0","0","0","21","20","0","0","0","3","0","1482587","5","0","0","0","0"
"Lukas Gugganig","336375","Bundesliga 25/26","Austrian Bundesliga","SCR Altach","6.4428571428571","45.1","7","0","0","0","0","0.06208648","0","58","21","79","73.417721518987","33","25","7","0","1","100","5","0","0","0","0","0","0","0","0","0","6","54.545454545455","5","50","11","52.380952380952","159","0","0","0","0","1","0","0","0","0","0","0","0","0","0","7","41.176470588235","6","0","0","0","22","0","6","5","100","0","3","0","0","2","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0","0","1","0","0","0","1","1","10","5","0","0","0","17","5","3","60","0","0","0","0","38","41","0","0","1","10","2","2092945","13","0","0","0","0"
"Lukas Gugganig","336375","Bundesliga 24/25","Austrian Bundesliga","SCR Altach","6.9791666666667","167.5","24","2","1","1","1","0","3","572","142","714","80.112044817927","391","182","66","3","5","100","21","14","5","0","0","1","33.333333333333","12","5","2","35","61.40350877193","67","63.809523809524","102","62.962962962963","1608","16.666666666667","0","0","0","0","2","0","2","0","9","3","1","1","0","92","58.227848101266","101","0","1","2","160","0","79","47","967","12","10","0","1","10","0","5","0","0","3","0","0","0","0","20","6","0","0","0","0","0","17","0","0","3","5","3","60","38","0","0","0","158","26","15","71.428571428571","804","0","0","0","426","291","2","0","8","57","0","1482623","24","0","0","0","0"
"Lukas Gugganig","336375","Bundesliga 23/24","Austrian Bundesliga","SCR Altach","7.0740740740741","191","27","3","2","5","0","0","3","749","230","979","76.506639427988","496","253","98","6","3","100","29","40","7","0","0","0","0","26","12","7","43","59.722222222222","66","57.894736842105","109","58.602150537634","2106","11.538461538462","0","0","0","0","2","0","3","0","23","3","1","0","2","170","53.291536050157","112","0","1","2","253","1","202","106","1295","12","14","1","1","15","1","7","0","0","7","0","0","0","0","29","3","0","0","0","0","0","24","0","0","6","3","4","77","48","0","0","0","319","32","19","65.51724137931","702","0","0","0","549","434","3","0","5","156","0","1052776","27","0","0","0","0"
