İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,goals,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,shotFromSetPiece,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToShot,wasFouled,fouls,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,crossesNotClaimed,matchesStarted,totalCross,totalLongBalls,goalsConceded,yellowRedCards,ballRecovery,appearances,countRating,bigChancesCreated,bigChancesMissed,expectedAssists,accurateOwnHalfPasses,accurateOppositionHalfPasses,tackles,interceptions,groundDuelsWon,groundDuelsWonPercentage,penaltyWon,penaltyConceded,freeKickGoal,errorLeadToGoal,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,hitWoodwork,ownGoals,penaltySave,punches,runsOut,successfulRunsOut,highClaims,setPieceConversion,totalAttemptAssist,totalContest,tacklesWon,tacklesWonPercentage,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,outfielderBlocks,goalsPrevented
Edson Fernando,988779,Premier League 24/25,Ukrainian Premier League,Rukh Lviv,6.8,0,1,76,92,82.61,7,2,3,75.0,1,0,0,1,50.0,0,0,2,33.33,292,0.0,0,0,0,2,66.67,2,1,7,9,4,0,2,0,0,0,0,4,2,3,0,0,30,5,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Edson Fernando,988779,Premier League 23/24,Ukrainian Premier League,Rukh Lviv,6.8769230769231,0,0,330,378,87.3,53,7,12,63.16,4,0,0,2,50.0,9,3,16,55.17,902,0.0,0,0,2,13,52.0,12,7,24,21,29,0,2,0,0,0,0,12,4,25,0,0,103,13,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Yaroslav Karabin,1034051,Premier League 24/25,Ukrainian Premier League,Rukh Lviv,7.08,6,7,525,712,73.74,48,41,47,70.15,2,0,0,7,17.95,39,16,21,29.17,2404,15.38,1,1,2,17,41.46,15,6,30,36,47,2,0,1,0,0,0,29,39,41,0,0,144,30,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Yaroslav Karabin,1034051,Premier League 23/24,Ukrainian Premier League,Rukh Lviv,6.78125,2,2,112,152,73.68,10,13,11,52.38,0,0,0,0,0.0,11,5,9,25.0,740,18.18,0,0,0,2,66.67,5,3,9,8,5,5,1,0,0,0,0,7,6,3,0,0,39,16,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Oleksii Sych,1022525,Premier League 23/24,Ukrainian Premier League,Rukh Lviv,6.91,1,2,734,1025,71.61,105,22,47,70.15,2,0,0,37,31.9,25,9,45,48.39,2700,4.0,0,0,0,51,40.48,65,16,23,28,93,3,9,2,0,0,0,30,116,126,0,0,252,30,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Vitaliy Kholod,1398827,Premier League 24/25,Ukrainian Premier League,Rukh Lviv,6.9821428571429,1,1,1005,1175,85.53,105,5,6,85.71,3,0,0,3,37.5,13,3,46,56.79,2508,7.692,0,0,0,99,50.0,63,14,13,25,39,1,13,1,0,0,0,26,8,198,0,0,284,28,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Vitaliy Kholod,1398827,Premier League 23/24,Ukrainian Premier League,Rukh Lviv,6.6111111111111,0,1,282,326,86.5,6,0,1,50.0,2,0,0,0,0.0,2,1,10,43.48,763,0.0,0,0,0,14,38.89,18,8,5,12,19,0,4,0,0,0,0,7,0,36,0,0,72,11,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Rostyslav Liakh,958968,Premier League 24/25,Ukrainian Premier League,Rukh Lviv,6.65,0,0,293,436,67.2,55,11,12,75.0,1,0,1,23,36.51,11,4,31,46.97,1154,0.0,0,0,1,36,40.45,32,8,7,27,28,0,1,1,0,0,0,11,63,89,0,1,84,16,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Rostyslav Liakh,958968,Premier League 23/24,Ukrainian Premier League,Rukh Lviv,6.5692307692308,0,1,95,133,71.43,10,3,5,50.0,1,0,0,7,36.84,3,2,13,52.0,485,0.0,0,0,2,8,36.36,19,0,2,9,20,0,0,0,0,0,0,3,19,22,0,0,28,13,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
Denys Teslyuk,1405512,Premier League 23/24,Ukrainian Premier League,Rukh Lviv,6.6117647058824,1,0,81,130,62.31,7,2,22,64.71,5,0,0,6,30.0,15,6,21,36.21,810,6.667,0,0,0,5,71.43,7,2,10,7,18,0,1,0,0,0,0,11,20,7,0,0,31,18,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,
