İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Gonzalo Tapia,1002947,Brasileiro Serie A 2025,Brasileirão Betano,São Paulo,6.9,20,5,0,5,0,0.33191507,180,232,77.586206896552,54,126,77,7,9,50.0,5,6,4,0,0,2,8.0,32,15,53,49.074074074074,27,41.538461538462,1118,15.625,0,0,0,0,0,0,3,37.5,5,0,0,16,136,11,9,3,434,40,25,1,0,7,5,3,0,0,2,0,0,0,0,0,0,12,0.0,7,18,25,8,20,5,100.0,0,62,170,0,4.6421,40,0,20,0.0
Ryan Francisco,1631904,Brasileiro Serie A 2025,Brasileirão Betano,São Paulo,6.7571428571429,7,2,0,0,0,0.20985964,19,27,70.37037037037,9,10,9,3,3,60.0,0,0,0,0,0,0,0.0,4,2,9,42.857142857143,0,0.0,208,50.0,0,0,0,0,0,0,0,0.0,0,0,0,3,17,0,2,1,52,6,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0.0,3,5,1,1,5,0,0.0,0,10,17,0,0.5326,2,0,8,0.0
Ryan Francisco,1631904,Brasileirão Betano 2024,Brasileirão Betano,São Paulo,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,1,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0,0,0.0,0,0,1,0.0
André Silva,925072,Brasileiro Serie A 2026,Brasileirão Betano,São Paulo,6.4333333333333,6,0,0,0,0,0.03377438,22,30,73.333333333333,7,15,7,1,1,33.333333333333,0,0,1,0,0,0,0.0,0,0,7,46.666666666667,2,22.222222222222,125,0.0,0,0,0,0,0,0,3,100.0,1,0,0,1,19,0,3,3,57,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,0.0,0,8,22,0,0.0,3,1,6,0.0
André Silva,925072,Brasileiro Serie A 2025,Brasileirão Betano,São Paulo,6.935,20,5,3,4,2,1.72964474,179,250,71.6,54,125,72,15,1,7.6923076923077,12,10,5,0,0,2,18.181818181818,38,9,34,40.47619047619,33,40.243902439024,1361,13.157894736842,1,1,0,0,0,0,4,40.0,14,0,0,14,146,6,16,12,464,22,22,1,0,3,7,15,0,0,1,0,0,0,0,0,0,15,0.0,15,13,11,10,14,5,41.666666666667,0,66,184,2,4.5617,27,3,20,0.0
André Silva,925072,Brasileirão Betano 2024,Brasileirão Betano,São Paulo,6.7766666666667,30,7,0,3,2,0.71617713,257,352,73.011363636364,90,170,89,15,11,47.826086956522,3,5,3,0,0,3,15.789473684211,35,13,34,31.481481481481,29,38.157894736842,1579,20.0,0,0,0,0,0,0,10,55.555555555556,12,0,0,32,209,5,21,13,605,21,25,1,0,9,6,10,0,0,3,0,0,0,0,0,0,17,0.0,15,23,19,18,23,1,33.333333333333,0,114,257,0,3.9051,38,0,30,0.0
Paulo Sérgio,1631905,Brasileiro Serie A 2025,Brasileirão Betano,São Paulo,6.6,3,0,0,0,0,0.00359134,6,9,66.666666666667,3,3,1,0,1,100.0,1,0,0,0,0,0,0.0,0,0,2,100.0,1,50.0,31,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,2,1,100.0,0,4,5,0,0.0,1,0,3,0.0
Oscar,39400,Brasileiro Serie A 2025,Brasileirão Betano,São Paulo,6.9333333333333,6,0,2,1,0,1.0718326,140,172,81.395348837209,51,89,49,7,2,66.666666666667,2,8,1,0,0,8,28.571428571429,4,2,8,47.058823529412,5,55.555555555556,346,0.0,0,0,0,0,0,0,11,52.380952380952,5,0,1,4,61,0,17,12,258,4,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,5,0.0,7,3,28,21,6,2,100.0,0,62,110,1,0.3952,9,1,6,0.0
Ferreirinha,998499,Brasileiro Serie A 2026,Brasileirão Betano,São Paulo,7.2142857142857,7,3,1,0,0,0.41854833,67,76,88.157894736842,25,42,28,5,13,68.421052631579,4,0,2,0,0,2,14.285714285714,7,4,24,64.864864864865,0,0.0,232,42.857142857143,0,0,0,0,0,0,4,66.666666666667,1,0,0,4,40,1,3,3,148,7,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0.0,5,19,14,6,1,3,75.0,0,27,49,1,0.98,6,0,7,0.0
Ferreirinha,998499,Brasileiro Serie A 2025,Brasileirão Betano,São Paulo,7.0285714285714,28,5,8,5,4,3.26546495,485,591,82.064297800338,148,337,200,25,53,51.456310679612,23,6,4,0,0,9,19.148936170213,36,13,124,53.679653679654,9,40.909090909091,1586,13.888888888889,1,0,1,1,0,0,20,48.780487804878,9,0,1,24,294,9,33,22,1039,48,16,2,0,17,3,10,1,0,0,0,0,0,0,0,0,20,0.0,24,103,47,41,16,15,65.217391304348,0,183,408,1,4.5218,83,1,28,0.0
Ferreirinha,998499,Brasileirão Betano 2024,Brasileirão Betano,São Paulo,7.0730769230769,26,5,1,3,1,2.12707073,443,515,86.019417475728,141,322,171,30,50,58.139534883721,26,5,4,0,0,20,28.169014084507,29,11,117,60.309278350515,4,36.363636363636,1239,17.241379310345,0,0,1,0,1,0,21,67.741935483871,4,0,0,22,228,6,22,13,908,42,14,0,0,9,1,11,0,0,1,0,0,0,0,0,0,14,0.0,30,86,71,31,16,20,76.923076923077,0,155,431,3,2.9171,66,0,26,0.0
