İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Samuel Justo,1153077,Liga Portugal 24/25,Liga Portugal Betclic,SC Farense,6.44,5,0,0,1,0,0.26651547,74,91,81.318681318681,28,47,27,1,0,0.0,2,0,0,0,0,1,25.0,2,1,4,40.0,1,20.0,219,0.0,0,0,0,0,0,0,5,33.333333333333,4,0,1,2,26,2,11,7,118,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0.0,1,1,4,15,5,2,100.0,0,30,65,0,0.224,15,0,5,0.0
Facundo Cáseres,989837,Liga Portugal 23/24,Liga Portugal Betclic,SC Farense,6.775,20,0,0,0,0,0.11508105,356,406,87.684729064039,242,115,35,3,1,25.0,49,11,4,0,1,1,100.0,2,1,73,64.601769911504,8,33.333333333333,1118,0.0,0,0,0,0,0,0,28,70.0,16,0,0,4,70,2,12,9,596,23,23,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0.0,3,4,1,40,20,25,51.020408163265,1,267,140,0,0.1239,56,0,21,0.0
Zé Carlos,1138915,Liga Portugal 24/25,Liga Portugal Betclic,SC Farense,6.58,15,0,0,0,0,0.22239018,267,340,78.529411764706,121,146,66,4,11,45.833333333333,31,12,1,1,1,0,0.0,4,1,58,51.327433628319,9,45.0,820,0.0,0,0,0,1,0,0,13,38.235294117647,17,0,0,18,123,4,33,14,537,17,14,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,0.0,4,24,3,34,17,19,61.290322580645,0,141,202,0,0.0737,61,0,16,0.0
Paulo Victor,1108505,Liga Portugal 24/25,Liga Portugal Betclic,SC Farense,6.9583333333333,24,0,0,1,0,0.9722432,301,464,64.870689655172,164,146,75,10,35,56.451612903226,59,28,4,0,0,9,31.034482758621,5,2,136,60.714285714286,39,66.101694915254,1644,0.0,0,0,0,0,0,0,36,35.643564356436,55,0,0,12,321,6,57,22,1045,45,31,0,0,24,0,0,1,0,3,0,0,0,0,0,0,18,0.0,9,62,29,101,19,40,67.796610169492,0,213,280,0,0.3634,68,0,24,0.0
Filipe Soares,851030,Liga Portugal 24/25,Liga Portugal Betclic,SC Farense,6.6238095238095,21,1,2,0,1,0.90540851,184,223,82.511210762332,95,92,53,3,6,50.0,10,6,5,0,0,3,50.0,9,1,27,44.262295081967,6,31.578947368421,634,11.111111111111,0,0,0,0,0,0,17,56.666666666667,5,0,0,9,70,2,16,14,330,11,15,0,0,6,0,4,0,0,0,0,0,0,0,0,0,6,0.0,3,12,6,30,12,7,70.0,0,109,120,0,1.2644,41,0,21,0.0
Kaique,1167067,Liga Portugal 24/25,Liga Portugal Betclic,SC Farense,7.0333333333333,6,0,0,0,0,0.01564222,116,189,61.375661375661,91,25,12,0,0,0.0,0,0,1,0,0,0,0.0,0,0,0,0.0,6,100.0,540,0.0,0,0,0,0,0,0,39,34.821428571429,9,0,0,0,75,1,6,3,254,1,0,0,0,0,0,0,0,16,1,1,6,0,0,5,0,6,0.0,0,0,0,112,6,0,0.0,0,98,91,0,0.0,61,0,6,1.9916
Rony Lopes,190147,Liga Portugal 24/25,Liga Portugal Betclic,SC Farense,7.1214285714286,14,1,3,3,0,2.3677171,263,340,77.352941176471,95,194,103,20,8,57.142857142857,13,5,4,0,0,26,30.952380952381,29,11,39,54.929577464789,11,84.615384615385,1134,3.448275862069,1,0,0,0,5,0,18,48.648648648649,9,0,0,8,190,8,42,21,614,18,9,1,0,9,1,6,0,0,1,0,0,0,0,0,0,14,0.0,20,14,84,37,14,11,84.615384615385,0,113,311,1,3.1514,52,0,14,0.0
Tomané,126076,Liga Portugal 24/25,Liga Portugal Betclic,SC Farense,6.9083333333333,24,3,2,3,0,1.20913467,202,348,58.045977011494,66,138,80,20,9,39.130434782609,14,1,1,0,0,2,8.695652173913,30,10,64,47.407407407407,114,49.565217391304,1657,10.0,1,1,1,0,0,0,3,21.428571428571,23,0,0,23,274,12,14,7,687,48,36,0,0,6,19,8,0,0,1,0,0,0,0,0,0,18,0.0,20,23,23,14,28,8,57.142857142857,0,87,284,1,2.7902,38,0,24,0.0
