İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Yusuf Karademir,2085002,Super Lig 24/25,Trendyol Süper Lig,Alanyaspor,0.0,0,0,0,0,0,0.420014,3,3,100.0,1,2,1,1,0,0.0,1,0,0,0,0,0,0.0,0,0,1,100.0,0,0.0,3,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,100.0,0,1,2,0,0.0,0,0,1,0.0
Buluthan Bulut,1046689,Super Lig 24/25,Trendyol Süper Lig,Alanyaspor,6.6833333333333,6,0,0,0,0,0.01515788,51,57,89.473684210526,27,24,8,0,0,0.0,7,0,0,0,0,0,0.0,1,0,9,64.285714285714,1,50.0,123,0.0,0,0,0,0,0,0,1,100.0,3,0,0,1,14,2,3,1,81,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,3,2,1,1,6,85.714285714286,0,28,31,0,0.0218,11,0,7,0.0
Ümit Akdağ,1215071,Super Lig 25/26,Trendyol Süper Lig,Alanyaspor,6.9807692307692,26,1,2,2,2,1.91300345,1137,1370,82.992700729927,634,503,215,18,17,70.833333333333,30,27,5,0,0,7,25.0,18,2,69,50.36496350365,56,65.882352941176,2332,5.5555555555556,0,0,0,2,0,0,90,50.279329608939,137,0,3,13,310,2,137,63,1798,22,36,0,0,13,1,4,0,0,8,0,0,0,0,0,0,26,0.0,18,24,28,179,32,20,66.666666666667,0,703,667,2,1.2483,107,17,26,0.0
Fidan Aliti,385296,Super Lig 25/26,Trendyol Süper Lig,Alanyaspor,6.9307692307692,26,0,4,0,1,0.57802233,1135,1253,90.582601755786,821,314,73,8,3,100.0,33,41,10,0,0,4,33.333333333333,7,2,75,59.055118110236,38,65.51724137931,2314,0.0,0,0,0,0,1,0,52,47.272727272727,115,0,1,3,140,1,64,26,1574,41,35,0,0,14,0,2,0,0,9,0,0,0,0,0,0,26,0.0,8,3,12,110,28,22,66.666666666667,0,857,396,2,0.2206,78,17,26,0.0
Fidan Aliti,385296,Super Lig 24/25,Trendyol Süper Lig,Alanyaspor,6.95,34,1,0,2,0,1.51224765,1418,1662,85.31889290012,983,440,140,13,2,66.666666666667,62,45,9,0,0,5,45.454545454545,20,3,107,59.444444444444,61,52.586206896552,3046,5.0,0,0,0,0,2,1,108,45.188284518828,149,0,0,5,278,1,155,72,2108,46,52,0,1,17,1,7,0,0,7,0,0,0,0,0,0,34,50.0,13,3,11,239,45,49,79.032258064516,0,1059,614,1,1.3083,104,0,34,0.0
Fidan Aliti,385296,Super Lig 23/24,Trendyol Süper Lig,Alanyaspor,6.8657142857143,35,0,1,4,2,0.48545461,1685,1930,87.305699481865,1214,473,114,8,4,66.666666666667,38,30,7,0,0,2,33.333333333333,14,3,79,63.2,48,51.063829787234,3047,0.0,0,0,0,0,0,0,90,41.47465437788,130,1,0,1,266,1,108,45,2308,41,33,1,1,12,0,3,0,0,9,0,0,0,0,0,0,34,0.0,8,6,6,217,38,25,65.789473684211,0,1316,620,1,2.2384,120,0,35,0.0
Nuno Lima,1133301,Super Lig 25/26,Trendyol Süper Lig,Alanyaspor,6.9037037037037,27,1,2,2,1,0.78605262,1355,1534,88.331160365059,840,515,194,5,2,100.0,23,20,6,0,0,0,0.0,17,3,36,48.0,52,56.521739130435,2375,5.8823529411765,0,0,0,0,0,0,77,46.107784431138,106,0,0,0,196,3,98,44,1796,11,28,1,0,12,0,0,0,0,8,0,0,0,0,0,0,27,0.0,5,2,5,167,30,16,69.565217391304,0,900,634,2,0.8822,89,18,27,0.0
Nuno Lima,1133301,Super Lig 24/25,Trendyol Süper Lig,Alanyaspor,6.965625,32,2,0,0,0,0.24000207,1318,1511,87.22700198544,951,368,102,4,2,100.0,40,21,12,0,0,1,50.0,15,4,55,60.43956043956,64,50.393700787402,2556,13.333333333333,0,0,0,1,0,0,80,43.715846994536,159,0,4,3,212,0,113,59,1859,14,26,0,0,9,0,3,0,0,7,0,0,0,0,0,0,28,0.0,4,2,2,183,36,22,55.0,0,1004,509,2,1.5037,80,0,32,0.0
Nuno Lima,1133301,Super Lig 23/24,Trendyol Süper Lig,Alanyaspor,6.9333333333333,18,0,0,1,0,0.51640498,866,988,87.651821862348,591,277,91,4,3,100.0,11,15,2,0,0,2,50.0,8,1,21,55.263157894737,31,54.385964912281,1179,0.0,0,0,2,0,0,0,49,45.794392523364,52,0,0,0,127,0,54,27,1132,8,12,0,0,6,2,0,0,0,2,0,0,0,0,0,0,13,0.0,4,3,4,107,14,7,63.636363636364,0,647,345,2,0.6037,58,0,19,0.0
Bruno Viana,804703,Super Lig 25/26,Trendyol Süper Lig,Alanyaspor,6.8,3,0,0,0,0,0.02275698,99,115,86.086956521739,74,25,8,0,0,0.0,5,1,0,0,0,0,0.0,1,0,5,62.5,8,61.538461538462,194,0.0,0,0,0,0,0,0,4,57.142857142857,10,0,1,0,17,0,8,3,140,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,1,7,3,3,60.0,0,82,33,0,0.031,8,3,3,0.0
Fatih Aksoy,827922,Super Lig 25/26,Trendyol Süper Lig,Alanyaspor,6.6928571428571,14,0,0,0,0,0.35215852,273,323,84.520123839009,132,141,56,5,2,66.666666666667,8,13,2,0,0,1,25.0,5,2,19,59.375,10,47.619047619048,607,0.0,0,0,0,0,0,0,18,51.428571428571,23,0,0,1,58,3,31,18,406,9,7,0,0,4,0,1,0,0,3,0,0,0,0,0,0,6,0.0,5,3,4,35,9,6,75.0,0,146,177,0,0.435,31,2,14,0.0
Fatih Aksoy,827922,Super Lig 24/25,Trendyol Süper Lig,Alanyaspor,6.784,25,0,2,1,0,0.9694383,710,871,81.515499425947,428,282,130,8,12,100.0,37,11,4,0,0,0,0.0,14,3,74,56.060606060606,34,55.737704918033,1595,0.0,0,0,0,1,0,0,61,47.286821705426,79,1,1,5,187,2,93,44,1120,25,32,0,0,22,1,5,0,0,3,0,0,0,0,0,0,20,0.0,8,12,3,129,30,22,59.459459459459,0,478,396,0,1.1529,90,0,25,0.0
Fatih Aksoy,827922,Super Lig 23/24,Trendyol Süper Lig,Alanyaspor,6.7705882352941,17,1,1,1,0,0.26828279,572,662,86.404833836858,397,175,66,2,3,60.0,21,8,0,0,0,0,0.0,4,3,27,57.446808510638,17,50.0,961,25.0,0,0,0,0,0,0,51,55.434782608696,52,0,0,4,106,1,74,41,799,3,4,0,0,10,0,1,0,0,0,0,0,0,0,0,0,10,0.0,2,5,1,92,21,16,76.190476190476,0,435,228,1,1.2861,56,0,21,0.0
Baran Mogultay,1388550,Super Lig 25/26,Trendyol Süper Lig,Alanyaspor,6.6,2,0,0,0,0,0.04604579,17,20,85.0,5,12,6,0,1,100.0,0,0,0,0,0,1,50.0,0,0,1,50.0,0,0.0,56,0.0,0,0,0,0,0,0,2,66.666666666667,1,0,0,0,8,0,2,1,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,2,3,0,0,0.0,0,7,13,0,0.0,0,0,2,0.0
Batuhan Yavuz,1195735,Super Lig 25/26,Trendyol Süper Lig,Alanyaspor,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,1,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0
Batuhan Yavuz,1195735,Super Lig 24/25,Trendyol Süper Lig,Alanyaspor,7.5,1,0,1,0,0,0.022943,59,63,93.650793650794,51,8,4,1,1,100.0,1,2,0,0,0,0,0.0,0,0,3,75.0,0,0.0,90,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,0,1,1,72,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,1,100.0,0,54,10,0,0.0,2,0,1,0.0
Paulo Victor,34142,Super Lig 25/26,Trendyol Süper Lig,Alanyaspor,6.925,8,0,0,0,0,0.0045467,126,203,62.068965517241,106,20,3,0,0,0.0,0,0,2,0,0,0,0.0,0,0,1,50.0,1,100.0,720,0.0,0,0,0,0,0,0,45,38.135593220339,6,1,0,0,77,0,21,14,266,0,0,0,0,1,0,0,0,18,2,1,5,4,4,6,0,8,0.0,0,0,0,118,11,0,0.0,0,126,77,0,0.0,72,0,8,0.8663
Ertuğrul Taşkıran,105974,Super Lig 25/26,Trendyol Süper Lig,Alanyaspor,7.05,20,0,0,0,0,0.01019009,304,410,74.146341463415,275,29,5,0,0,0.0,2,0,2,0,0,0,0.0,0,0,7,77.777777777778,4,80.0,1800,0.0,0,0,0,0,0,0,74,42.528735632184,15,0,2,0,109,0,63,46,600,5,0,0,0,2,0,0,0,58,7,1,5,8,8,12,1,20,0.0,0,0,0,174,22,2,100.0,0,315,95,1,0.0,148,0,20,4.3402
Ertuğrul Taşkıran,105974,Super Lig 24/25,Trendyol Süper Lig,Alanyaspor,7.1117647058824,34,0,0,0,0,0.03496388,690,932,74.034334763948,597,93,17,1,0,0.0,1,1,5,0,0,0,0.0,0,0,8,66.666666666667,12,92.307692307692,3060,0.0,0,0,0,2,0,0,197,46.244131455399,30,2,1,0,254,0,110,81,1324,11,2,0,0,3,0,0,0,102,8,2,9,30,27,40,0,34,0.0,1,0,0,426,48,1,100.0,0,674,258,2,0.0,331,0,34,3.8636
Ertuğrul Taşkıran,105974,Super Lig 23/24,Trendyol Süper Lig,Alanyaspor,7.0117647058824,34,0,0,0,0,0.07782681,777,1025,75.80487804878,706,71,22,2,0,0.0,0,2,3,0,0,0,0.0,0,0,3,50.0,12,100.0,3060,0.0,0,0,0,0,0,0,153,39.130434782609,45,1,2,0,257,0,165,87,1384,5,0,0,0,3,0,0,0,93,9,0,23,19,19,29,1,34,0.0,2,0,0,391,42,0,0.0,0,777,248,0,0.0,296,0,34,-2.9296
Loide Augusto,1110708,Super Lig 24/25,Trendyol Süper Lig,Alanyaspor,7.0833333333333,18,2,7,5,4,3.9714798,469,556,84.352517985612,163,318,198,30,38,55.882352941176,20,4,4,0,1,12,37.5,40,11,85,47.752808988764,10,47.619047619048,1487,5.0,0,0,0,0,1,0,13,81.25,5,0,0,28,231,8,15,12,901,28,26,0,0,9,8,18,0,0,0,0,0,0,0,0,0,17,0.0,30,68,32,16,21,15,75.0,1,181,407,1,2.0009,67,0,18,0.0
Loide Augusto,1110708,Super Lig 23/24,Trendyol Süper Lig,Alanyaspor,6.9230769230769,26,3,2,1,2,1.9682626,723,866,83.487297921478,288,445,257,13,54,58.695652173913,40,20,6,0,0,10,19.607843137255,21,4,121,54.504504504505,21,55.263157894737,1797,14.285714285714,0,0,1,1,0,0,21,41.176470588235,25,0,0,30,315,8,29,12,1377,28,29,0,0,5,5,8,0,0,2,0,0,0,0,0,0,20,0.0,13,92,51,51,29,21,52.5,0,328,589,1,1.074,94,0,26,0.0
