İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Necip Uysal,43394,Super Lig 25/26,Trendyol Süper Lig,Beşiktaş JK,6.45,2,0,0,0,0,0.0057644,32,37,86.486486486486,18,14,5,0,0,0.0,1,4,1,0,0,0,0.0,0,0,1,14.285714285714,3,75.0,81,0.0,0,0,0,0,0,0,1,25.0,2,0,0,0,5,0,2,1,49,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,4,2,0,0.0,0,19,18,0,0.0,3,0,2,0.0
Necip Uysal,43394,Super Lig 24/25,Trendyol Süper Lig,Beşiktaş JK,6.65,2,0,0,0,0,0.00166596,27,32,84.375,24,3,1,0,0,0.0,1,1,0,0,0,0,0.0,0,0,1,50.0,0,0.0,62,0.0,0,0,0,0,0,0,1,50.0,3,0,0,0,6,0,2,1,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,0,1,100.0,0,27,5,0,0.0,5,0,3,0.0
Necip Uysal,43394,Super Lig 23/24,Trendyol Süper Lig,Beşiktaş JK,6.9633333333333,30,0,1,1,1,0.52983591,1256,1445,86.920415224913,778,483,134,6,7,70.0,46,29,5,0,0,5,50.0,11,3,82,60.740740740741,62,64.583333333333,2359,0.0,0,0,0,0,0,0,65,43.333333333333,87,0,1,5,214,1,100,42,1764,31,28,0,0,17,2,3,0,0,10,0,0,0,0,0,0,25,0.0,6,10,10,150,28,22,47.826086956522,0,826,629,3,0.7382,103,0,30,0.0
Taylan Bulut,1418644,Super Lig 25/26,Trendyol Süper Lig,Beşiktaş JK,6.4,4,0,1,1,0,0.11997445,49,69,71.014492753623,19,30,15,2,1,12.5,8,2,0,0,0,1,20.0,1,1,9,42.857142857143,3,50.0,274,0.0,0,0,0,1,0,0,2,33.333333333333,3,0,0,2,40,0,4,3,133,0,4,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0.0,2,8,5,6,2,4,50.0,0,26,43,0,0.1014,7,1,5,0.0
Gökhan Sazdağı,595396,Super Lig 25/26,Trendyol Süper Lig,Beşiktaş JK,6.5789473684211,19,0,3,0,0,1.60803236,503,668,75.299401197605,248,255,145,18,16,55.172413793103,43,22,5,0,0,13,26.0,8,1,73,49.659863945578,32,62.745098039216,1575,0.0,0,0,0,0,0,0,38,36.893203883495,46,3,0,6,256,2,59,17,1073,15,30,0,0,28,0,3,0,0,2,0,0,0,0,0,0,17,0.0,18,29,50,103,27,29,67.441860465116,0,296,372,0,0.2245,92,3,20,0.0
Ersin Destanoğlu,913656,Super Lig 25/26,Trendyol Süper Lig,Beşiktaş JK,6.96,20,0,0,0,0,0.01693132,360,493,73.022312373225,312,48,7,0,0,0.0,0,0,3,0,0,0,0.0,0,0,3,100.0,7,100.0,1800,0.0,0,0,0,0,0,0,86,40.37558685446,10,1,0,0,135,0,45,23,669,7,0,0,0,0,0,0,0,57,7,0,4,4,3,16,0,20,0.0,0,0,0,213,21,0,0.0,0,352,141,0,0.0,151,0,20,1.1884
Ersin Destanoğlu,913656,Super Lig 24/25,Trendyol Süper Lig,Beşiktaş JK,7.2,2,0,0,0,0,0.00619963,27,38,71.052631578947,23,4,2,0,0,0.0,0,0,3,0,0,0,0.0,0,0,0,0.0,0,0.0,180,0.0,0,0,0,0,0,0,6,35.294117647059,1,0,0,0,12,0,5,3,59,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,2,0.0,0,0,0,17,3,0,0.0,0,26,12,0,0.0,17,0,2,0.5426
Ersin Destanoğlu,913656,Super Lig 23/24,Trendyol Süper Lig,Beşiktaş JK,7.0,11,0,0,0,0,0.01013798,181,234,77.350427350427,149,32,3,0,0,0.0,0,1,1,0,0,0,0.0,0,0,2,66.666666666667,2,100.0,875,0.0,0,0,0,0,0,0,55,52.380952380952,5,2,0,0,53,0,34,16,327,2,0,0,0,1,0,0,0,31,4,0,1,4,3,5,0,8,0.0,0,0,0,105,12,0,0.0,0,159,75,1,0.0,82,0,11,0.702
Ersin Destanoğlu,913656,UEFA Europa League 24/25,UEFA Europa League,Beşiktaş JK,7.2666666666667,3,0,0,0,0,0.00085355,53,86,61.627906976744,50,3,1,0,0,0.0,0,0,1,0,0,0,0.0,0,0,0,0.0,3,100.0,270,0.0,0,0,0,0,0,0,13,28.888888888889,2,0,0,0,34,0,3,2,127,3,0,0,0,0,0,0,0,12,1,0,0,0,0,2,0,3,0.0,0,0,0,45,5,0,0.0,0,61,25,0,0.0,26,0,3,-0.3165
Onur Bulut,142494,Super Lig 24/25,Trendyol Süper Lig,Beşiktaş JK,6.6533333333333,15,0,2,0,1,1.34230222,188,227,82.819383259912,95,96,44,4,1,20.0,10,5,0,0,0,3,30.0,2,2,17,62.962962962963,3,37.5,428,0.0,0,0,0,0,0,0,10,52.631578947368,11,0,0,1,67,3,11,3,334,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,4,5,10,19,8,4,40.0,0,115,122,0,0.1567,26,0,17,0.0
