İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,ballRecovery,outfielderBlocks,appearances,expectedAssists,expectedGoals,goalsPrevented
Tiago Cravero,1119704,Primera LPF 2026,Liga Profesional de Fútbol,Central Córdoba,6.5857142857143,7,0,0,0,0,72,100,72.0,43,29,8,0,0,0.0,7,4,1,0,0,0,0.0,1,0,10,58.823529411765,4,50.0,274,0.0,0,0,0,0,0,0,7,35.0,9,0,0,1,33,0,12,4,137,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,1,20,5,4,57.142857142857,0,55,45,0,10,0,8,0.0,0.0,0.0
Alejandro Maciel,895336,Primera LPF 2026,Liga Profesional de Fútbol,Central Córdoba,7.0636363636364,11,0,0,0,0,295,401,73.56608478803,208,87,30,1,2,100.0,24,12,5,0,0,0,0.0,5,1,29,64.444444444444,28,49.122807017544,990,0.0,0,0,0,1,0,0,48,44.859813084112,102,0,0,0,112,0,71,35,607,3,10,0,0,7,0,0,0,0,5,0,0,0,0,0,0,11,0.0,1,2,1,107,14,14,58.333333333333,0,232,169,1,25,13,11,0.0,0.0,0.0
Facundo Mansilla,1087335,Primera LPF 2026,Liga Profesional de Fútbol,Central Córdoba,6.8166666666667,12,0,0,0,0,379,450,84.222222222222,293,86,21,1,3,75.0,19,32,1,0,0,0,0.0,3,1,29,50.877192982456,31,64.583333333333,1024,0.0,0,0,0,0,0,0,18,35.294117647059,80,0,0,2,96,0,22,6,676,8,17,0,0,8,0,1,0,0,5,0,0,0,0,0,0,12,0.0,1,4,2,51,11,13,68.421052631579,0,320,130,0,39,8,12,0.0,0.0,0.0
Agustin Quiroga,1484795,Primera LPF 2026,Liga Profesional de Fútbol,Central Córdoba,6.4666666666667,9,0,0,0,0,105,164,64.024390243902,44,61,30,6,2,22.222222222222,6,10,3,0,0,3,23.076923076923,8,0,13,35.135135135135,18,64.285714285714,461,0.0,0,0,0,0,0,0,8,27.586206896552,15,0,0,1,100,0,18,10,293,5,10,0,0,7,0,3,1,0,1,0,0,0,0,0,0,5,0.0,5,9,13,29,7,4,66.666666666667,0,59,105,0,18,1,9,0.0,0.0,0.0
Yuri Casermeiro,1578950,Primera LPF 2026,Liga Profesional de Fútbol,Central Córdoba,6.975,4,0,0,0,0,59,79,74.683544303797,35,24,13,0,2,100.0,5,3,1,0,0,0,0.0,0,0,8,61.538461538462,8,61.538461538462,175,0.0,0,0,0,0,0,0,8,38.095238095238,9,0,0,1,27,0,13,4,114,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,2,2,21,1,3,60.0,0,39,40,0,13,2,4,0.0,0.0,0.0
Yuri Casermeiro,1578950,Liga Profesional 2024,Liga Profesional de Fútbol,Central Córdoba,6.4,1,0,0,0,0,3,4,75.0,3,0,0,0,0,0.0,0,0,1,0,0,0,0.0,1,0,0,0.0,0,0.0,14,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,1,0,6,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0.0,0,3,1,0,0,0,2,3.599e-05,0.034,0.0
Juan Pablo Pignani,1176234,Primera LPF 2026,Liga Profesional de Fútbol,Central Córdoba,6.5125,8,0,0,0,0,202,261,77.394636015326,140,62,16,1,1,50.0,13,8,2,1,1,0,0.0,2,0,17,70.833333333333,14,58.333333333333,602,0.0,0,0,0,0,0,0,14,30.434782608696,39,0,0,0,76,0,19,6,384,3,5,0,0,1,0,1,0,0,2,0,0,0,0,0,0,7,0.0,1,2,0,46,11,10,76.923076923077,0,159,102,0,20,10,8,0.0,0.0,0.0
Iván Pillud,82371,Liga Profesional 2024,Liga Profesional de Fútbol,Central Córdoba,6.6285714285714,7,0,0,0,0,122,166,73.493975903614,67,57,22,3,2,50.0,8,6,1,0,0,2,15.384615384615,4,0,12,66.666666666667,4,50.0,369,0.0,0,0,0,0,0,0,6,24.0,7,0,0,0,62,1,14,5,264,4,2,0,0,2,0,2,0,0,1,0,0,0,0,0,0,4,0.0,3,4,13,25,6,5,62.5,0,74,105,0,17,0,7,0.13703134,0.1442,0.0
Santiago Moyano,884931,Primera LPF 2026,Liga Profesional de Fútbol,Central Córdoba,6.7083333333333,12,0,1,1,0,215,283,75.971731448763,109,106,42,9,8,61.538461538462,15,11,1,0,0,6,28.571428571429,5,1,30,42.857142857143,12,52.173913043478,951,0.0,0,0,0,0,0,0,10,29.411764705882,30,0,0,10,129,2,31,12,510,7,16,0,0,9,1,1,0,0,4,0,0,0,0,0,0,12,0.0,9,13,21,34,9,10,66.666666666667,0,130,153,0,56,6,12,0.0,0.0,0.0
Leonardo Marchi,947210,Primera LPF 2026,Liga Profesional de Fútbol,Central Córdoba,6.4666666666667,3,0,0,0,0,45,66,68.181818181818,21,24,8,2,2,40.0,4,2,1,0,0,3,21.428571428571,0,0,6,50.0,2,50.0,158,0.0,0,0,0,0,0,0,6,50.0,3,0,0,0,42,1,8,3,122,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,5,14,12,3,4,100.0,0,29,37,0,7,0,3,0.0,0.0,0.0
Leonardo Marchi,947210,Liga Profesional 2024,Liga Profesional de Fútbol,Central Córdoba,6.5,2,0,0,0,0,26,47,55.31914893617,10,18,7,1,0,0.0,2,2,0,0,0,2,25.0,0,0,2,33.333333333333,2,33.333333333333,180,0.0,0,0,0,0,0,0,4,36.363636363636,6,0,0,0,38,0,5,1,104,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0.0,1,2,8,11,3,1,50.0,0,15,40,0,7,0,2,0.09111008,0.0,0.0
Fernando Martínez,1112782,Primera LPF 2026,Liga Profesional de Fútbol,Central Córdoba,6.4714285714286,7,0,0,0,0,39,59,66.101694915254,23,16,4,0,2,33.333333333333,9,4,0,0,0,1,9.0909090909091,0,0,13,44.827586206897,4,44.444444444444,257,0.0,0,0,0,0,0,0,1,20.0,3,0,0,5,50,0,3,0,134,2,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0.0,0,6,11,5,9,6,66.666666666667,0,31,28,0,14,1,10,0.0,0.0,0.0
Fernando Martínez,1112782,Liga Profesional 2024,Liga Profesional de Fútbol,Central Córdoba,6.65,4,0,0,1,0,34,42,80.952380952381,19,16,9,2,5,100.0,2,0,0,0,0,1,16.666666666667,1,1,8,80.0,2,22.222222222222,204,0.0,0,0,0,0,0,0,1,33.333333333333,1,0,0,0,18,0,4,3,81,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,5,6,3,4,1,50.0,0,21,27,0,8,0,4,0.04299121,0.4007,0.0
Alan Aguerre,147351,Primera LPF 2026,Liga Profesional de Fútbol,Central Córdoba,7.0166666666667,12,0,0,0,1,179,298,60.06711409396,121,58,10,1,0,0.0,1,0,1,0,0,0,0.0,0,0,3,100.0,5,100.0,1015,0.0,0,0,0,0,0,0,78,39.795918367347,10,0,0,0,119,1,51,25,390,3,0,0,0,0,0,0,0,35,5,0,4,1,1,9,0,12,0.0,1,0,0,196,13,0,0.0,0,134,164,0,86,0,12,0.0,0.0,0.0
Lautaro Bursich,1167976,Liga Profesional 2024,Liga Profesional de Fútbol,Central Córdoba,6.5,1,0,0,0,0,11,21,52.380952380952,9,2,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,90,0.0,0,0,0,0,0,0,6,37.5,1,0,0,0,11,0,2,1,31,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,0,0,0,16,2,0,0.0,0,10,11,0,5,0,1,0.00058323,0.0,-1.0228
Javier Vallejos,1511103,Primera LPF 2026,Liga Profesional de Fútbol,Central Córdoba,6.6,1,0,0,0,0,4,9,44.444444444444,3,1,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,100.0,65,0.0,0,0,0,0,0,0,1,16.666666666667,1,0,0,0,5,0,1,0,17,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0.0,0,0,0,6,2,0,0.0,0,5,4,0,5,0,1,0.0,0.0,0.0
