İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,ballRecovery,outfielderBlocks,appearances,expectedAssists,expectedGoals,goalsPrevented
Braian Romero,789435,Primera LPF 2026,Liga Profesional de Fútbol,Vélez Sarsfield,6.65,6,1,0,2,0,20,37,54.054054054054,6,14,8,1,0,0.0,2,0,3,0,0,0,0.0,7,3,8,40.0,3,25.0,251,14.285714285714,1,1,0,0,1,0,1,50.0,6,0,0,4,33,0,1,0,86,6,4,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0.0,1,2,2,2,2,1,50.0,0,9,28,0,7,0,8,0.0,0.0,0.0
Braian Romero,789435,Liga Profesional 2024,Liga Profesional de Fútbol,Vélez Sarsfield,6.9555555555556,27,12,4,13,4,262,373,70.241286863271,70,194,110,13,13,35.135135135135,16,2,4,0,0,2,22.222222222222,68,33,66,42.307692307692,35,33.653846153846,2224,17.647058823529,2,2,1,1,0,0,2,18.181818181818,26,0,0,38,269,17,14,8,763,37,28,0,0,8,19,9,1,0,5,0,0,0,0,0,0,27,0.0,12,37,9,11,15,7,43.75,0,98,284,1,62,0,27,3.31200367,12.3969,0.0
Tobías Andrada,2110330,Primera LPF 2026,Liga Profesional de Fútbol,Vélez Sarsfield,6.8666666666667,12,1,2,1,0,420,515,81.553398058252,129,291,142,9,14,43.75,33,4,3,0,0,3,15.789473684211,9,2,73,51.048951048951,5,23.809523809524,1079,11.111111111111,0,0,0,0,0,0,24,61.538461538462,10,0,0,15,187,7,28,20,768,26,19,0,0,19,0,1,0,0,5,0,0,0,0,0,0,12,0.0,9,32,19,39,9,29,87.878787878788,0,156,359,0,74,1,12,0.0,0.0,0.0
Matías Pellegrini,940610,Primera LPF 2026,Liga Profesional de Fútbol,Vélez Sarsfield,7.0375,8,3,1,1,1,110,153,71.895424836601,24,86,52,6,4,40.0,9,2,2,0,0,5,38.461538461538,11,5,23,45.098039215686,19,79.166666666667,434,27.272727272727,0,0,0,0,0,0,1,33.333333333333,8,0,0,9,82,3,2,1,258,10,7,0,0,6,1,1,1,0,0,0,0,0,0,0,0,6,0.0,5,10,13,3,3,6,66.666666666667,0,32,121,1,24,3,8,0.0,0.0,0.0
Matías Pellegrini,940610,Liga Profesional 2024,Liga Profesional de Fútbol,Vélez Sarsfield,6.75625,16,1,1,1,0,119,160,74.375,30,93,54,4,8,50.0,12,5,2,0,0,4,22.222222222222,5,1,29,52.727272727273,11,52.380952380952,402,20.0,0,0,0,0,1,0,5,62.5,1,0,0,11,85,6,8,5,270,9,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0.0,4,16,18,8,4,7,58.333333333333,0,35,143,0,23,0,20,0.5870868,0.763,0.0
Rodrigo Piñeiro,924872,Liga Profesional 2024,Liga Profesional de Fútbol,Vélez Sarsfield,6.6,3,0,0,2,0,22,33,66.666666666667,1,21,9,0,6,85.714285714286,0,0,0,0,0,0,0.0,2,2,6,60.0,2,50.0,70,0.0,0,0,0,0,0,0,0,0.0,0,0,0,2,21,0,0,0,57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,7,2,2,2,0,0.0,0,7,28,0,4,0,5,0.02321705,0.6877,0.0
Florián Monzón,989849,Primera LPF 2026,Liga Profesional de Fútbol,Vélez Sarsfield,6.53,10,3,0,1,0,120,178,67.415730337079,35,85,48,5,8,33.333333333333,7,0,2,0,0,2,50.0,16,9,22,31.884057971014,21,35.0,743,18.75,0,0,0,0,0,0,3,75.0,12,0,0,9,112,3,7,3,323,7,18,0,0,6,5,0,0,0,1,0,0,0,0,0,0,9,0.0,5,24,4,4,5,5,71.428571428571,0,41,137,0,16,1,10,0.0,0.0,0.0
Dilan Godoy,2110310,Primera LPF 2026,Liga Profesional de Fútbol,Vélez Sarsfield,6.5142857142857,7,0,2,3,3,46,84,54.761904761905,18,28,17,7,3,27.272727272727,8,1,1,0,0,1,20.0,14,4,15,44.117647058824,13,52.0,327,0.0,0,0,0,0,0,0,2,66.666666666667,1,0,0,2,71,4,7,4,165,4,6,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0.0,7,11,5,3,3,5,62.5,0,24,60,0,17,0,8,0.0,0.0,0.0
Matias Arias,2190172,Primera LPF 2026,Liga Profesional de Fútbol,Vélez Sarsfield,6.375,4,0,1,0,1,32,44,72.727272727273,13,19,11,2,1,20.0,1,0,1,0,0,0,0.0,1,1,4,26.666666666667,0,0.0,113,0.0,0,0,0,0,0,0,2,66.666666666667,1,0,0,3,31,0,4,2,74,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2,5,3,3,3,1,100.0,0,14,30,0,7,0,4,0.0,0.0,0.0
Diego Valdés,333421,Primera LPF 2026,Liga Profesional de Fútbol,Vélez Sarsfield,6.9222222222222,9,0,4,2,3,134,163,82.208588957055,34,100,64,11,13,68.421052631579,4,0,0,0,0,5,23.809523809524,12,2,23,62.162162162162,6,37.5,354,0.0,0,0,0,0,1,0,10,83.333333333333,3,0,0,5,68,2,16,10,258,6,2,0,0,2,1,2,0,0,0,0,0,0,0,0,0,4,0.0,11,19,21,12,5,1,25.0,0,38,125,0,13,0,9,0.0,0.0,0.0
Manuel Lanzini,220315,Primera LPF 2026,Liga Profesional de Fútbol,Vélez Sarsfield,7.0583333333333,12,3,2,0,0,393,468,83.974358974359,102,291,164,12,12,50.0,11,7,1,0,0,7,15.909090909091,16,8,51,57.303370786517,4,40.0,972,18.75,0,0,0,0,3,1,12,57.142857142857,4,0,0,15,180,5,37,19,686,29,8,0,0,5,1,1,0,0,1,0,0,0,0,0,0,12,33.333333333333,12,24,44,21,7,7,63.636363636364,0,119,349,1,56,1,12,0.0,0.0,0.0
Imanol Machuca,974698,Primera LPF 2026,Liga Profesional de Fútbol,Vélez Sarsfield,6.5,4,0,1,0,0,45,58,77.586206896552,5,40,25,2,3,30.0,1,0,1,0,0,0,0.0,1,0,7,35.0,0,0.0,158,0.0,0,0,0,0,0,0,1,33.333333333333,0,0,0,3,33,4,1,0,95,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,10,6,3,0,0,0.0,0,7,51,0,7,0,4,0.0,0.0,0.0
Lucas Robertone,848926,Primera LPF 2026,Liga Profesional de Fútbol,Vélez Sarsfield,6.76,10,1,0,0,0,231,294,78.571428571429,95,136,58,4,3,42.857142857143,14,11,4,0,0,1,14.285714285714,12,4,26,53.061224489796,13,50.0,526,8.3333333333333,0,0,0,0,1,0,14,48.275862068966,13,0,0,3,85,4,29,14,400,9,8,0,0,9,0,1,0,0,0,0,0,0,0,0,0,6,0.0,4,7,7,29,3,10,71.428571428571,0,112,182,0,33,2,11,0.0,0.0,0.0
Claudio Baeza,333427,Primera LPF 2026,Liga Profesional de Fútbol,Vélez Sarsfield,6.9818181818182,11,0,0,0,0,413,499,82.765531062124,172,241,73,5,5,62.5,22,14,3,0,0,1,100.0,5,0,35,51.470588235294,14,63.636363636364,809,0.0,0,0,0,0,0,0,27,57.446808510638,21,0,0,6,105,6,45,30,625,8,10,0,0,14,0,3,0,0,3,0,0,0,0,0,0,9,0.0,5,8,1,47,7,12,54.545454545455,0,203,296,0,59,3,11,0.0,0.0,0.0
Rodrigo Aliendro,830748,Primera LPF 2026,Liga Profesional de Fútbol,Vélez Sarsfield,6.825,12,0,0,1,0,226,274,82.481751824818,95,131,56,1,3,37.5,28,13,1,0,0,1,50.0,9,2,36,54.545454545455,14,50.0,536,0.0,0,0,0,0,0,0,14,51.851851851852,13,0,0,4,71,3,16,7,399,5,12,0,0,9,0,3,0,0,3,0,0,0,0,0,0,5,0.0,1,8,2,27,5,17,60.714285714286,0,108,166,0,40,0,12,0.0,0.0,0.0
Alex Verón,2082122,Primera LPF 2026,Liga Profesional de Fútbol,Vélez Sarsfield,6.52,5,0,0,0,0,20,30,66.666666666667,9,11,6,1,5,62.5,3,2,0,0,0,0,0.0,0,0,8,50.0,0,0.0,154,0.0,0,0,0,0,0,0,1,33.333333333333,0,0,0,4,23,0,0,0,60,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1,8,2,3,2,1,33.333333333333,0,11,19,0,7,2,5,0.0,0.0,0.0
Luca Feler,2476559,Primera LPF 2026,Liga Profesional de Fútbol,Vélez Sarsfield,0.0,0,0,0,0,0,0,2,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,50.0,0,0.0,1,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0.0,0,1,1,0,1,0,1,0.0,0.0,0.0
Joaquín García,989860,Primera LPF 2026,Liga Profesional de Fútbol,Vélez Sarsfield,6.775,8,1,0,0,0,225,277,81.227436823105,103,122,56,7,1,16.666666666667,11,7,0,0,0,6,20.689655172414,3,2,14,45.161290322581,7,53.846153846154,628,33.333333333333,0,0,0,0,0,0,11,36.666666666667,11,0,0,1,111,0,18,9,435,2,4,0,0,7,0,1,0,0,2,0,0,0,0,0,0,7,0.0,7,6,29,30,6,9,81.818181818182,0,120,157,1,34,3,8,0.0,0.0,0.0
Joaquín García,989860,Liga Profesional 2024,Liga Profesional de Fútbol,Vélez Sarsfield,7.1818181818182,22,0,1,0,0,785,944,83.156779661017,354,438,217,15,11,55.0,77,20,6,0,0,7,16.279069767442,10,2,107,66.875,21,46.666666666667,1957,0.0,0,0,0,0,0,0,52,49.52380952381,40,0,0,10,264,5,41,21,1478,19,23,0,0,11,0,5,0,0,11,0,0,0,0,0,0,22,0.0,15,20,43,105,15,51,66.233766233766,0,421,566,2,122,0,22,0.91500294,0.2673,0.0
Emanuel Mammana,358914,Primera LPF 2026,Liga Profesional de Fútbol,Vélez Sarsfield,6.9454545454545,11,0,0,0,0,343,406,84.48275862069,230,113,32,0,0,0.0,12,8,0,0,0,0,0.0,0,0,13,68.421052631579,13,48.148148148148,909,0.0,0,0,0,0,0,0,40,51.948051948052,81,0,1,0,65,0,51,32,528,1,4,0,1,2,0,0,0,0,4,0,0,0,0,0,0,10,0.0,0,0,0,77,8,9,75.0,0,245,161,0,29,5,12,0.0,0.0,0.0
Emanuel Mammana,358914,Liga Profesional 2024,Liga Profesional de Fútbol,Vélez Sarsfield,7.22,20,0,0,0,0,650,813,79.950799507995,499,151,39,3,1,100.0,34,30,5,0,1,0,0.0,5,2,38,66.666666666667,64,57.142857142857,1624,0.0,0,0,0,0,0,0,93,56.024096385542,115,0,3,2,170,0,59,30,1063,5,12,0,0,7,2,0,0,0,10,0,0,0,0,0,0,19,0.0,3,1,0,166,10,24,70.588235294118,1,569,244,2,68,0,20,0.09392725,0.2336,0.0
Lisandro Magallán,248125,Primera LPF 2026,Liga Profesional de Fútbol,Vélez Sarsfield,6.8,12,0,1,1,1,408,504,80.952380952381,277,131,26,2,0,0.0,15,9,1,0,0,0,0.0,2,0,19,65.51724137931,19,67.857142857143,1080,0.0,0,0,0,0,0,0,24,28.915662650602,84,0,0,0,103,1,38,19,642,4,8,0,0,3,0,0,0,0,5,0,0,0,0,0,0,12,0.0,2,0,0,83,9,12,80.0,0,305,199,0,53,6,12,0.0,0.0,0.0
