İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,ballRecovery,outfielderBlocks,appearances,expectedAssists,expectedGoals,goalsPrevented
Williams Alarcón,936534,Liga Profesional 2024,Liga Profesional de Fútbol,Huracán,6.8916666666667,24,3,2,1,3,665,778,85.47557840617,299,391,192,20,15,45.454545454545,23,12,3,0,1,25,31.645569620253,28,5,53,44.166666666667,11,27.5,1814,10.714285714286,0,0,0,0,9,2,57,67.058823529412,10,0,1,19,245,10,63,44,1090,15,14,0,0,16,1,10,0,0,1,0,0,0,0,0,0,21,22.222222222222,20,33,79,85,16,17,73.913043478261,1,327,530,1,101,0,24,2.39738751,1.6357,0.0
Lucas Souto,1020523,Liga Profesional 2024,Liga Profesional de Fútbol,Huracán,6.5923076923077,13,0,0,0,0,224,320,70.0,103,122,50,1,5,35.714285714286,17,12,2,0,0,1,5.5555555555556,3,0,25,40.322580645161,20,41.666666666667,1017,0.0,0,0,0,0,0,0,11,28.205128205128,26,0,0,6,174,0,20,6,572,3,14,0,0,8,3,1,0,0,3,0,0,0,0,0,0,11,0.0,1,14,18,39,7,12,70.588235294118,0,138,200,0,27,0,13,0.13344599,0.1115,0.0
Franco Watson,1018412,Liga Profesional 2024,Liga Profesional de Fútbol,Huracán,6.625,8,0,0,0,0,33,52,63.461538461538,12,24,11,3,5,71.428571428571,1,2,0,0,0,3,33.333333333333,4,1,11,52.380952380952,1,16.666666666667,178,0.0,0,0,0,0,1,0,1,33.333333333333,0,0,0,4,37,2,4,4,101,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,3,7,9,3,2,0,0.0,0,15,46,0,16,0,8,0.19936282,0.1042,0.0
Ignacio Pussetto,340509,Liga Profesional 2024,Liga Profesional de Fútbol,Huracán,7.72,5,5,3,4,1,69,105,65.714285714286,28,43,27,6,3,50.0,7,0,1,0,0,2,40.0,19,9,20,46.511627906977,17,38.636363636364,448,26.315789473684,2,2,1,0,1,0,4,50.0,8,0,0,10,68,2,4,1,203,10,6,1,0,4,3,3,0,0,2,0,0,0,0,0,0,5,0.0,6,6,5,8,2,6,85.714285714286,0,32,78,1,6,0,5,0.60614183,3.3482,0.0
Hernán de la Fuente,912936,Liga Profesional 2024,Liga Profesional de Fútbol,Huracán,6.9894736842105,19,1,0,0,0,317,429,73.892773892774,155,167,85,9,13,61.904761904762,36,22,2,0,0,5,18.518518518519,12,3,74,59.677419354839,17,53.125,1475,8.3333333333333,0,0,0,0,0,0,12,25.531914893617,30,0,0,11,220,4,33,14,846,25,20,0,0,13,0,4,0,0,9,0,0,0,0,0,0,16,0.0,9,21,27,47,12,19,52.777777777778,0,199,257,1,76,0,19,0.62014751,0.6496,0.0
Walter Mazzantti,861339,Liga Profesional 2024,Liga Profesional de Fútbol,Huracán,6.884,25,3,8,9,4,304,408,74.509803921569,77,234,141,20,31,46.268656716418,45,14,3,1,1,7,16.279069767442,30,12,133,47.330960854093,32,44.444444444444,2061,10.0,0,0,1,0,0,0,3,60.0,9,0,0,41,305,13,14,5,911,58,40,1,0,35,12,6,0,0,6,0,0,0,0,0,0,24,0.0,20,67,43,5,18,26,57.777777777778,0,97,354,0,86,0,25,2.09487348,4.3176,0.0
